Fold,Accuracy,Precision,Recall,F1-Score
1,0.8666666666666667,0.8388888888888889,0.8326580254473702,0.8356682206682207
2,0.8507462686567164,0.8502884250474383,0.7542775169535733,0.7673754466712763
3,0.8656716417910447,0.8259047619047619,0.7881329937667967,0.8043420490209463
4,0.8955223880597015,0.8947652582159623,0.8506715506715506,0.8654256417012494
5,0.8805970149253731,0.8430746827543165,0.7989722354939746,0.8113877307921381
