Metric,Mean,Std,Min,Max
Accuracy,0.8718407960199004,0.01514792615640603,0.8507462686567164,0.8955223880597015
Precision,0.8505844033622736,0.023470412027246635,0.8259047619047619,0.8947652582159623
Recall,0.804942464466653,0.033895251854233144,0.7542775169535733,0.8506715506715506
F1-Score,0.8168398177707662,0.03270392798147443,0.7673754466712763,0.8654256417012494
