Metric,Mean,Std,Min,Max
Accuracy,0.8301050304035378,0.007277610028965833,0.8208955223880597,0.8432835820895522
Precision,0.7958044574653388,0.04542415892256036,0.7366149068322981,0.8548412698412697
Recall,0.7612419443295133,0.023921923632853757,0.732981220657277,0.8016361416361416
F1-Score,0.7738581778752605,0.031517891173975375,0.7334472049689442,0.8214350072961073
